"X", "Y", "Z", "Z_MACH_NUMBER", "Z_PRESSURE"
1, 2.22045e-16, 1.1, 0.634335, 0.75
1.02, 0.00813906, 1.1, 0.634335, 0.75
1.04, 0.0158947, 1.1, 0.634335, 0.75
1.06, 0.0232743, 1.1, 0.634335, 0.75
1.08, 0.0302845, 1.1, 0.634335, 0.75
1.1, 0.0369317, 1.1, 0.634335, 0.75
1.12, 0.0432216, 1.1, 0.634335, 0.75
1.14, 0.0491597, 1.1, 0.634335, 0.75
1.16, 0.054751, 1.1, 0.634335, 0.75
1.18, 0.06, 1.1, 0.634335, 0.75
1.2, 0.0649111, 1.1, 0.634335, 0.75
1.22, 0.0694881, 1.1, 0.634335, 0.75
1.24, 0.0737347, 1.1, 0.634335, 0.75
1.26, 0.0776541, 1.1, 0.634335, 0.75
1.28, 0.0812494, 1.1, 0.634335, 0.75
1.3, 0.0845233, 1.1, 0.634335, 0.75
1.32, 0.0874782, 1.1, 0.634335, 0.75
1.34, 0.0901163, 1.1, 0.634335, 0.75
1.36, 0.0924396, 1.1, 0.634335, 0.75
1.38, 0.0944497, 1.1, 0.634335, 0.75
1.4, 0.0961481, 1.1, 0.634335, 0.75
1.42, 0.0975361, 1.1, 0.634335, 0.75
1.44, 0.0986146, 1.1, 0.634335, 0.75
1.46, 0.0993845, 1.1, 0.634335, 0.75
1.48, 0.0998461, 1.1, 0.634335, 0.75
1.5, 0.1, 1.1, 0.634335, 0.75
1.52, 0.0998461, 1.1, 0.634335, 0.75
1.54, 0.0993845, 1.1, 0.634335, 0.75
1.56, 0.0986146, 1.1, 0.634335, 0.75
1.58, 0.0975361, 1.1, 0.634335, 0.75
1.6, 0.0961481, 1.1, 0.634335, 0.75
1.62, 0.0944497, 1.1, 0.634335, 0.75
1.64, 0.0924396, 1.1, 0.634335, 0.75
1.66, 0.0901163, 1.1, 0.634335, 0.75
1.68, 0.0874782, 1.1, 0.634335, 0.75
1.7, 0.0845233, 1.1, 0.634335, 0.75
1.72, 0.0812494, 1.1, 0.634335, 0.75
1.74, 0.0776541, 1.1, 0.634335, 0.75
1.76, 0.0737347, 1.1, 0.634335, 0.75
1.78, 0.0694881, 1.1, 0.634335, 0.75
1.8, 0.0649111, 1.1, 0.634335, 0.75
1.82, 0.06, 1.1, 0.634335, 0.75
1.84, 0.054751, 1.1, 0.634335, 0.75
1.86, 0.0491597, 1.1, 0.634335, 0.75
1.88, 0.0432216, 1.1, 0.634335, 0.75
1.9, 0.0369317, 1.1, 0.634335, 0.75
1.92, 0.0302845, 1.1, 0.634335, 0.75
1.94, 0.0232743, 1.1, 0.634335, 0.75
1.96, 0.0158947, 1.1, 0.634335, 0.75
1.98, 0.00813906, 1.1, 0.634335, 0.75
2, 0, 1.1, 0.634335, 0.75
1.98, 0, 1.1, 0.634335, 0.75
1.96, 0, 1.1, 0.634335, 0.75
1.94, 0, 1.1, 0.634335, 0.75
1.92, 0, 1.1, 0.634335, 0.75
1.9, 0, 1.1, 0.634335, 0.75
1.88, 0, 1.1, 0.634335, 0.75
1.86, 0, 1.1, 0.634335, 0.75
1.84, 0, 1.1, 0.634335, 0.75
1.82, 0, 1.1, 0.634335, 0.75
1.8, 0, 1.1, 0.634335, 0.75
1.78, 0, 1.1, 0.634335, 0.75
1.76, 0, 1.1, 0.634335, 0.75
1.74, 0, 1.1, 0.634335, 0.75
1.72, 0, 1.1, 0.634335, 0.75
1.7, 0, 1.1, 0.634335, 0.75
1.68, 0, 1.1, 0.634335, 0.75
1.66, 0, 1.1, 0.634335, 0.75
1.64, 0, 1.1, 0.634335, 0.75
1.62, 0, 1.1, 0.634335, 0.75
1.6, 0, 1.1, 0.634335, 0.75
1.58, 0, 1.1, 0.634335, 0.75
1.56, 0, 1.1, 0.634335, 0.75
1.54, 0, 1.1, 0.634335, 0.75
1.52, 0, 1.1, 0.634335, 0.75
1.5, 0, 1.1, 0.634335, 0.75
1.48, 0, 1.1, 0.634335, 0.75
1.46, 0, 1.1, 0.634335, 0.75
1.44, 0, 1.1, 0.634335, 0.75
1.42, 0, 1.1, 0.634335, 0.75
1.4, 0, 1.1, 0.634335, 0.75
1.38, 0, 1.1, 0.634335, 0.75
1.36, 0, 1.1, 0.634335, 0.75
1.34, 0, 1.1, 0.634335, 0.75
1.32, 0, 1.1, 0.634335, 0.75
1.3, 0, 1.1, 0.634335, 0.75
1.28, 0, 1.1, 0.634335, 0.75
1.26, 0, 1.1, 0.634335, 0.75
1.24, 0, 1.1, 0.634335, 0.75
1.22, 0, 1.1, 0.634335, 0.75
1.2, 0, 1.1, 0.634335, 0.75
1.18, 0, 1.1, 0.634335, 0.75
1.16, 0, 1.1, 0.634335, 0.75
1.14, 0, 1.1, 0.634335, 0.75
1.12, 0, 1.1, 0.634335, 0.75
1.1, 0, 1.1, 0.634335, 0.75
1.08, 0, 1.1, 0.634335, 0.75
1.06, 0, 1.1, 0.634335, 0.75
1.04, 0, 1.1, 0.634335, 0.75
1.02, 0, 1.1, 0.634335, 0.75
