"X", "Y", "Z", "Z_MACH_NUMBER", "Z_PRESSURE"
1, 0, 1.1, 0.634335, 0.75
0.982202, -0.0033142, 1.1, 0.634335, 0.75
0.964565, -0.0061859, 1.1, 0.634335, 0.75
0.947079, -0.00850643, 1.1, 0.634335, 0.75
0.929803, -0.0106767, 1.1, 0.634335, 0.75
0.912757, -0.0128691, 1.1, 0.634335, 0.75
0.895925, -0.01499, 1.1, 0.634335, 0.75
0.879304, -0.0170239, 1.1, 0.634335, 0.75
0.862892, -0.0189977, 1.1, 0.634335, 0.75
0.846689, -0.0209138, 1.1, 0.634335, 0.75
0.830691, -0.0227692, 1.1, 0.634335, 0.75
0.814896, -0.0245665, 1.1, 0.634335, 0.75
0.799301, -0.0263085, 1.1, 0.634335, 0.75
0.783903, -0.0279968, 1.1, 0.634335, 0.75
0.768702, -0.0296327, 1.1, 0.634335, 0.75
0.753693, -0.0312176, 1.1, 0.634335, 0.75
0.738875, -0.0327528, 1.1, 0.634335, 0.75
0.724246, -0.0342398, 1.1, 0.634335, 0.75
0.709803, -0.0356792, 1.1, 0.634335, 0.75
0.695543, -0.0370714, 1.1, 0.634335, 0.75
0.681465, -0.0384178, 1.1, 0.634335, 0.75
0.667566, -0.0397196, 1.1, 0.634335, 0.75
0.653844, -0.0409775, 1.1, 0.634335, 0.75
0.640297, -0.0421918, 1.1, 0.634335, 0.75
0.626922, -0.043363, 1.1, 0.634335, 0.75
0.613717, -0.0444913, 1.1, 0.634335, 0.75
0.600681, -0.0455776, 1.1, 0.634335, 0.75
0.587811, -0.0466225, 1.1, 0.634335, 0.75
0.575105, -0.0476263, 1.1, 0.634335, 0.75
0.56256, -0.0485892, 1.1, 0.634335, 0.75
0.550176, -0.0495115, 1.1, 0.634335, 0.75
0.537949, -0.0503936, 1.1, 0.634335, 0.75
0.525879, -0.0512357, 1.1, 0.634335, 0.75
0.513962, -0.0520381, 1.1, 0.634335, 0.75
0.502197, -0.0528011, 1.1, 0.634335, 0.75
0.490582, -0.0535248, 1.1, 0.634335, 0.75
0.479115, -0.0542095, 1.1, 0.634335, 0.75
0.467795, -0.0548553, 1.1, 0.634335, 0.75
0.456619, -0.0554626, 1.1, 0.634335, 0.75
0.445586, -0.0560314, 1.1, 0.634335, 0.75
0.434694, -0.0565615, 1.1, 0.634335, 0.75
0.423941, -0.0570531, 1.1, 0.634335, 0.75
0.413325, -0.0575068, 1.1, 0.634335, 0.75
0.402845, -0.0579228, 1.1, 0.634335, 0.75
0.3925, -0.0583007, 1.1, 0.634335, 0.75
